pickup,destination,distance,time,passengers,payment_type,temperature,weather_condition,traffic_condition,fare_amount
Butwal,Birgunj,7.2,58,4,cash,17,rainy,moderate,1671
Lalitpur,Chitwan,8.1,17,3,cash,18,rainy,light,1206
Chitwan,Bhaktapur,6.2,19,1,credit card,28,cloudy,heavy,1500
Biratnagar,Butwal,9.8,26,2,credit card,22,rainy,moderate,1807
Chitwan,Kathmandu,9.7,17,3,cash,24,cloudy,moderate,1334
Kathmandu,Dharan,7.6,26,1,cash,23,cloudy,light,1050
Chitwan,Kathmandu,5.4,32,1,cash,20,rainy,light,984
Biratnagar,Dharan,7.8,38,3,cash,19,rainy,moderate,1436
Kathmandu,Patan,6.2,32,1,credit card,15,cloudy,heavy,1830
Birgunj,Kathmandu,6.2,24,1,credit card,22,rainy,moderate,1248
Lalitpur,Chitwan,9.0,30,1,cash,17,clear,moderate,1267
Kathmandu,Pokhara,1.6,36,1,credit card,26,clear,light,734
Lalitpur,Chitwan,3.0,17,4,cash,19,cloudy,light,718
Biratnagar,Chitwan,8.9,52,2,credit card,30,clear,moderate,1803
Birgunj,Bhaktapur,8.6,20,3,credit card,19,rainy,light,1549
Lalitpur,Chitwan,3.0,55,3,credit card,21,clear,light,1158
Patan,Butwal,5.9,16,3,cash,27,rainy,moderate,946
Pokhara,Dharan,8.8,16,2,credit card,20,rainy,heavy,2207
Pokhara,Patan,3.8,27,1,credit card,17,cloudy,moderate,852
Butwal,Birgunj,3.4,39,4,credit card,24,rainy,moderate,1251
Birgunj,Bhaktapur,7.3,23,1,cash,23,rainy,heavy,1710
Pokhara,Chitwan,7.4,8,2,cash,17,rainy,moderate,1026
Birgunj,Bhaktapur,4.8,23,1,cash,24,clear,heavy,1167
Patan,Lalitpur,0.6,11,3,credit card,27,rainy,moderate,472
Biratnagar,Dharan,6.2,45,1,cash,25,rainy,light,1219
Patan,Dharan,7.8,17,3,cash,15,rainy,heavy,1858
Pokhara,Butwal,5.1,45,2,credit card,19,cloudy,moderate,1287
Birgunj,Dharan,7.6,17,1,cash,21,clear,moderate,985
Pokhara,Chitwan,7.2,6,3,cash,21,clear,moderate,938
Lalitpur,Chitwan,7.5,27,4,credit card,26,clear,moderate,1465
Kathmandu,Patan,7.8,29,1,cash,27,rainy,moderate,1254
Bhaktapur,Birgunj,2.2,40,3,cash,29,cloudy,moderate,786
Lalitpur,Butwal,6.3,26,1,credit card,24,clear,moderate,1079
Lalitpur,Bhaktapur,7.4,33,2,cash,17,rainy,heavy,1936
Chitwan,Kathmandu,4.7,20,4,credit card,29,rainy,heavy,1723
Bhaktapur,Chitwan,9.8,45,2,cash,26,cloudy,light,1555
Lalitpur,Butwal,3.3,37,4,cash,16,cloudy,moderate,884
Bhaktapur,Patan,9.1,16,4,cash,27,clear,light,1277
Birgunj,Patan,5.6,56,2,credit card,17,clear,light,1495
Butwal,Pokhara,7.7,27,2,cash,26,rainy,heavy,1846
Biratnagar,Chitwan,1.7,43,1,cash,28,clear,light,674
